COUNTRY,IDCNTRY,IDSTUD
DEU,(280) Germany,601010112
DEU,(280) Germany,601010113
DEU,(280) Germany,601010114
DEU,(280) Germany,601010115
DEU,(280) Germany,601010116
DEU,(280) Germany,601010117
DEU,(280) Germany,601020101
DEU,(280) Germany,601020102
DEU,(280) Germany,601020103
DEU,(280) Germany,601020104
DEU,(280) Germany,601020105
DEU,(280) Germany,601020106
DEU,(280) Germany,601020107
DEU,(280) Germany,601020108
DEU,(280) Germany,601020109
DEU,(280) Germany,601020110
DEU,(280) Germany,601020111
DEU,(280) Germany,601020112
DEU,(280) Germany,601020113
DEU,(280) Germany,601020114
DEU,(280) Germany,601020115
DEU,(280) Germany,601020116
DEU,(280) Germany,601020117
DEU,(280) Germany,601020118
DEU,(280) Germany,601020119
DEU,(280) Germany,601020120
DEU,(280) Germany,601020121
DEU,(280) Germany,601020122
DEU,(280) Germany,601020123
DEU,(280) Germany,601020124
DEU,(280) Germany,601020125
DEU,(280) Germany,603010101
DEU,(280) Germany,603010102
DEU,(280) Germany,603010103
DEU,(280) Germany,603010104
DEU,(280) Germany,603010105
DEU,(280) Germany,603010106
DEU,(280) Germany,603010107
DEU,(280) Germany,603010108
DEU,(280) Germany,603010109
DEU,(280) Germany,603010110
DEU,(280) Germany,603010111
DEU,(280) Germany,603010112
DEU,(280) Germany,603010113
DEU,(280) Germany,603010114
DEU,(280) Germany,603010115
DEU,(280) Germany,603010116
DEU,(280) Germany,603010117
DEU,(280) Germany,603010118
DEU,(280) Germany,603010119
DEU,(280) Germany,603010120
DEU,(280) Germany,603010121
DEU,(280) Germany,603010122
DEU,(280) Germany,603020101
DEU,(280) Germany,603020102
DEU,(280) Germany,603020103
DEU,(280) Germany,603020104
DEU,(280) Germany,603020105
DEU,(280) Germany,603020106
DEU,(280) Germany,603020107
DEU,(280) Germany,603020108
DEU,(280) Germany,603020109
DEU,(280) Germany,603020110
DEU,(280) Germany,603020111
DEU,(280) Germany,603020112
DEU,(280) Germany,603020113
DEU,(280) Germany,603020114
DEU,(280) Germany,603020115
DEU,(280) Germany,603020116
DEU,(280) Germany,603020117
DEU,(280) Germany,605010101
DEU,(280) Germany,605010102
DEU,(280) Germany,605010103
DEU,(280) Germany,605010104
DEU,(280) Germany,605010105
DEU,(280) Germany,605010106
DEU,(280) Germany,605010107
DEU,(280) Germany,605010108
DEU,(280) Germany,605010109
DEU,(280) Germany,605010110
DEU,(280) Germany,605010111
DEU,(280) Germany,605010112
DEU,(280) Germany,605010113
DEU,(280) Germany,605010114
DEU,(280) Germany,605010115
DEU,(280) Germany,605010116
DEU,(280) Germany,605010117
DEU,(280) Germany,605010118
DEU,(280) Germany,605010119
DEU,(280) Germany,605010120
DEU,(280) Germany,605010121
DEU,(280) Germany,605010122
DEU,(280) Germany,701010101
DEU,(280) Germany,701010102
DEU,(280) Germany,701010103
DEU,(280) Germany,701010104
DEU,(280) Germany,701010105
DEU,(280) Germany,701010106
DEU,(280) Germany,701010107
DEU,(280) Germany,701010108
DEU,(280) Germany,701010109
DEU,(280) Germany,701010110
DEU,(280) Germany,701010111
DEU,(280) Germany,701010112
DEU,(280) Germany,701010113
DEU,(280) Germany,701010114
DEU,(280) Germany,701010115
DEU,(280) Germany,701010116
DEU,(280) Germany,701010117
DEU,(280) Germany,701010118
